# of vertices,Execution Time
10,3.110000000000612e-05
20,8.140000000000924e-05
30,0.00016539999999998223
40,0.0003270000000000217
50,0.00044279999999996544
60,0.0006110999999999756
70,0.0010023000000000115
80,0.0010777000000000148
90,0.0012767000000000195
100,0.0016020000000000478
110,0.001957700000000062
120,0.002403500000000003
130,0.0027608000000000077
140,0.0032482999999999818
150,0.003672099999999956
160,0.004079500000000014
170,0.004649000000000014
180,0.005066599999999921
190,0.005640099999999926
200,0.006365999999999983
210,0.0075104999999999755
220,0.007626399999999922
230,0.00861869999999998
240,0.009400599999999981
250,0.009983499999999923
260,0.010969500000000076
270,0.011934800000000134
280,0.012977400000000028
290,0.013814699999999958
300,0.015318100000000001
310,0.016345499999999902
320,0.017488800000000193
330,0.01872340000000028
340,0.019451399999999897
350,0.020149500000000042
360,0.020809199999999972
370,0.02213730000000025
380,0.023442300000000138
390,0.028146000000000004
400,0.027314699999999803
410,0.028429699999999336
420,0.028870000000000395
430,0.03306789999999982
440,0.032369199999999765
450,0.03264029999999973
460,0.0362309999999999
470,0.03752829999999996
480,0.03828540000000036
490,0.03915199999999963
500,0.04183539999999919
510,0.04805919999999997
520,0.04561330000000119
530,0.04604540000000057
540,0.04924850000000092
550,0.048747199999999324
560,0.052518799999999644
570,0.05194700000000019
580,0.05728700000000053
590,0.05699189999999987
600,0.0586089999999988
610,0.060222999999998805
620,0.06535850000000032
630,0.06738469999999985
640,0.06992239999999939
650,0.07097079999999956
660,0.07253889999999963
670,0.07336159999999836
680,0.08093480000000142
690,0.0767944000000007
700,0.08327329999999833
710,0.084140399999999
720,0.08688430000000125
730,0.08858820000000023
740,0.09160359999999912
750,0.09450009999999764
760,0.09895999999999816
770,0.10211029999999965
780,0.10070409999999796
790,0.10971059999999966
800,0.10830769999999745
810,0.10925100000000043
820,0.11400240000000039
830,0.11724829999999997
840,0.11724939999999862
850,0.11855390000000199
860,0.12206960000000322
870,0.14284250000000043
880,0.12972919999999988
890,0.13855089999999848
900,0.1351756999999978
910,0.14106090000000648
920,0.14496590000000253
930,0.1498124999999959
940,0.14885890000000046
950,0.14933869999999416
960,0.15465820000000008
970,0.1563100999999989
980,0.16647410000000207
990,0.1674036000000001
1000,0.17027640000000588
1010,0.16753020000000163
1020,0.17882440000000344
1030,0.17375669999999843
1040,0.18075240000000292
1050,0.1905282000000028
1060,0.1854056999999898
1070,0.18921339999999987
1080,0.19897830000000738
1090,0.20128480000001048
1100,0.20217860000001053
1110,0.20438240000000008
1120,0.20939530000001128
1130,0.21325910000000192
1140,0.21641280000000052
1150,0.25422190000000455
1160,0.22943279999999788
1170,0.22915950000000862
1180,0.23004930000000456
1190,0.23172030000000632
1200,0.24675329999999462
1210,0.250021899999993
1220,0.24561269999999524
1230,0.25034150000000466
1240,0.3029142000000036
1250,0.2697546999999929
1260,0.26278250000000014
1270,0.2660070000000019
1280,0.2716245000000015
1290,0.28184120000000235
1300,0.28018109999999297
1310,0.28342290000000503
1320,0.29604529999998874
1330,0.29981140000001005
1340,0.29465200000001346
1350,0.30263859999999454
1360,0.3028203000000076
1370,0.3057065999999793
1380,0.3144809000000066
1390,0.32066610000001106
1400,0.33526610000001256
1410,0.32556059999998865
1420,0.3282662000000016
1430,0.3361888000000022
1440,0.34534700000000385
1450,0.36909479999999917
1460,0.363708900000006
1470,0.37574599999999236
1480,0.36117640000000506
1490,0.39585539999998787
1500,0.3769139999999993
1510,0.3746849999999995
1520,0.3786021999999889
1530,0.3993692999999894
1540,0.3990928999999994
1550,0.41095830000000433
1560,0.4001083999999935
1570,0.407398900000004
1580,0.41746480000000474
1590,0.42262939999997684
1600,0.42625019999999836
1610,0.43240389999999707
1620,0.46829629999999156
1630,0.44305640000001745
1640,0.4392170000000135
1650,0.46080259999999384
1660,0.4609418999999946
1670,0.4729247000000214
1680,0.45943529999999555
1690,0.4788530999999807
1700,0.4751176999999984
1710,0.47421609999997827
1720,0.49973020000004453
1730,0.5015486000000351
1740,0.5085512999999651
1750,0.5092940000000112
1760,0.5304710999999998
1770,0.5194424000000026
1780,0.5254139000000464
1790,0.5338097000000062
1800,0.5426918999999657
1810,0.5450992999999471
1820,0.5445232999999803
1830,0.5525274000000309
1840,0.5717220999999881
1850,0.574270399999989
1860,0.5750815000000102
1870,0.5734688000000006
1880,0.6381978000000004
1890,0.5897266999999715
1900,0.5855197999999859
1910,0.5979737000000114
1920,0.6136635999999953
1930,0.6275210000000015
1940,0.6281480000000101
1950,0.6308607000000279
1960,0.6379418000000214
1970,0.6399698999999828
1980,0.6686476999999513
1990,0.6885493999999994
2000,0.6671716000000174
2010,0.6813735000000065
2020,0.6920241999999917
2030,0.6911886000000322
2040,0.7853084999999851
2050,0.6896520999999893
2060,0.7191961000000333
2070,0.7311743000000206
2080,0.717521099999999
2090,0.7339147999999796
2100,0.7414322999999854
2110,0.7358317000000625
2120,0.7620770999999422
2130,0.7421870999999101
2140,0.7719083000000637
2150,0.7827886000000035
2160,0.7794808999999532
2170,0.821277900000041
2180,0.7896094000000176
2190,0.8070976999999857
2200,0.812376400000062
2210,0.8080535000000282
2220,0.8286463000000595
2230,0.8241183999999748
2240,0.8479365000000598
2250,0.8387206999999535
2260,0.8486589999999978
2270,0.8651621999999861
2280,0.8628509000000122
2290,0.8556762000000617
2300,0.8922726999999213
2310,0.879747699999939
2320,0.8914391999999225
2330,0.999900700000012
2340,0.8931780000000344
2350,0.9102709000000004
2360,0.9228405999999723
2370,0.9376284999999598
2380,0.9409438999999793
2390,0.9390599999999267
2400,0.9556764999999814
2410,0.9599964000000227
2420,0.9732700000000705
2430,0.985918300000094
2440,1.0064103000000841
2450,0.9892793000000211
2460,1.0087267999999767
2470,1.0705937999999833
2480,1.0060624999999845
2490,1.031460999999922
2500,1.0368187999999918
2510,1.0645359999999755
2520,1.049749199999951
2530,1.0646196000000145
2540,1.0612370999999712
2550,1.0899759999999787
2560,1.09501309999996
2570,1.0991708000000244
2580,1.1027889000000641
2590,1.1220542999999452
2600,1.1391664999999875
2610,1.1527425000000449
2620,1.1415703999999778
2630,1.153680799999961
2640,1.1811953999999787
2650,1.285576800000058
2660,1.176403100000016
2670,1.1868586000000505
2680,1.2181849000000966
2690,1.2107581999998729
2700,1.2044411000001674
2710,1.2498290000000907
2720,1.2291419000000587
2730,1.2313646000000062
2740,1.2358385999998518
2750,1.2770175000000563
2760,1.3171124999998938
2770,1.2692082999999457
2780,1.267019300000129
2790,1.2906400000001668
2800,1.3061589999999796
2810,1.310667599999988
2820,1.3309630999999627
2830,1.3154385000000275
2840,1.3470537000000604
2850,1.3330782000000454
2860,1.3631354999999985
2870,1.3645520000000033
2880,1.4190551000001506
2890,1.3814809000000423
2900,1.4590822999998636
2910,1.429935099999966
2920,1.4117014000000836
2930,1.4684299000000465
2940,1.436144400000103
2950,1.4454275000000507
2960,1.4416125000000193
2970,1.4553740000001198
2980,1.4680861000001642
2990,1.4839776999999685
3000,1.4860650000000533
3010,1.515661899999941
3020,1.5134545999999318
3030,1.6941757000001871
3040,1.545607599999812
3050,1.531495699999823
3060,1.5434973999999784
3070,1.653947799999969
3080,1.5822000000000571
3090,1.601592299999993
3100,1.5827094999999645
3110,1.6854895999999826
3120,1.6250145999999859
3130,1.6111433000000943
3140,1.6445106000001033
3150,1.7939077999999427
3160,1.681736600000022
3170,1.6608737999999903
3180,1.6966856000001371
3190,1.723625200000015
3200,1.7037317000001622
3210,1.6987123999999767
3220,1.6927295999998933
3230,1.722630400000071
3240,1.723967200000061
3250,1.798095500000045
3260,1.8320896000000175
3270,1.8113387000000785
3280,1.7996027000001504
3290,1.7981985999999779
3300,1.7747487999999976
3310,1.8119080999999824
3320,1.835298099999818
3330,1.9033739999999852
3340,1.8502972000001137
3350,1.8430927000003976
3360,1.8741320999997697
3370,1.8965932999999495
3380,1.9124956000000566
3390,1.900544699999955
3400,2.0142092999999477
3410,1.9306543999996393
3420,1.9495459999998275
3430,2.031058999999914
3440,1.9738407999998344
3450,2.004122699999698
3460,2.011187399999926
3470,2.028835799999797
3480,1.9909529999999904
3490,2.019193600000108
3500,2.014632899999924
