# of vertices,Execution Time
10,2.599999999997049e-05
20,5.959999999999299e-05
30,0.0001222999999999641
40,0.00025889999999995084
50,0.00031759999999997346
60,0.0004245999999999972
70,0.0006039999999999934
80,0.0007322000000000162
90,0.0009305000000000008
100,0.0011965999999999921
110,0.0013277000000000427
120,0.0018182999999999394
130,0.0019388999999999657
140,0.002577099999999999
150,0.0025151000000001034
160,0.00287740000000003
170,0.0033074000000000714
180,0.0038842000000000043
190,0.003906700000000041
200,0.004416499999999934
210,0.005125199999999941
220,0.005515700000000123
230,0.00616490000000014
240,0.0069094000000000655
250,0.007391499999999995
260,0.00809890000000002
270,0.008740799999999993
280,0.010712300000000008
290,0.010720800000000086
300,0.015181999999999807
310,0.012111599999999889
320,0.012900199999999806
330,0.014425699999999875
340,0.014700299999999888
350,0.01539489999999999
360,0.02586540000000026
370,0.018519400000000186
380,0.019740599999999997
390,0.020834599999999703
400,0.022057200000000776
410,0.022131300000000742
420,0.024586299999999284
430,0.024293400000000354
440,0.026177399999999906
450,0.036942699999999995
460,0.027956800000000115
470,0.030321499999999446
480,0.03285170000000015
490,0.03337020000000024
500,0.03482330000000111
510,0.03687850000000026
520,0.049255099999999885
530,0.03994910000000118
540,0.05373050000000035
550,0.046120399999999506
560,0.0535862999999992
570,0.05718040000000002
580,0.05407979999999846
590,0.05037139999999951
600,0.061506699999998915
610,0.054970199999999636
620,0.057483899999999366
630,0.05889009999999928
640,0.06580209999999909
650,0.067522799999999
660,0.06906890000000132
670,0.07281310000000119
680,0.07148590000000254
690,0.06874489999999867
700,0.0821885999999985
710,0.07776369999999844
720,0.07899469999999909
730,0.08624890000000107
740,0.09081619999999901
750,0.08531020000000211
760,0.10203380000000095
770,0.09450629999999904
780,0.09610980000000069
790,0.1063541999999984
800,0.0951076999999998
810,0.10262490000000213
820,0.11705940000000226
830,0.10948350000000318
840,0.1138686999999976
850,0.12052470000000426
860,0.1200054000000037
870,0.11914469999999966
880,0.1207132000000044
890,0.12257699999999971
900,0.12699229999999773
910,0.2153723999999997
920,0.14256619999999742
930,0.1316889999999944
940,0.14181330000000258
950,0.13949629999999758
960,0.1502960999999985
970,0.1482825999999946
980,0.1599807999999996
990,0.15738999999999947
1000,0.15839550000000457
1010,0.16395260000000178
1020,0.16957230000000578
1030,0.16866229999999405
1040,0.18425380000000757
1050,0.18020690000000172
1060,0.18028909999999598
1070,0.18579309999999793
1080,0.18477620000000172
1090,0.19210129999999026
1100,0.21006660000000466
1110,0.2276379999999989
1120,0.20345700000000022
1130,0.2051510999999948
1140,0.2066023999999942
1150,0.22618880000000274
1160,0.2455224000000129
1170,0.23418350000000032
1180,0.24723520000000576
1190,0.24081499999999778
1200,0.24464749999999924
1210,0.24291889999999228
1220,0.2586470000000105
1230,0.2560922999999917
1240,0.25086220000000026
1250,0.2560394000000059
1260,0.26458000000000936
1270,0.2623842999999937
1280,0.2914133000000021
1290,0.27140469999999084
1300,0.2761751000000032
1310,0.2817282000000034
1320,0.28734320000000935
1330,0.30111550000000875
1340,0.3061187000000132
1350,0.3228300000000104
1360,0.33526460000001634
1370,0.3097714999999823
1380,0.3115254999999877
1390,0.3265716000000225
1400,0.3431937000000005
1410,0.3509008999999992
1420,0.3455627000000163
1430,0.3407871999999941
1440,0.3554023000000086
1450,0.35632119999999645
1460,0.3586567000000116
1470,0.36602659999999787
1480,0.3722186999999906
1490,0.3784631999999988
1500,0.3833133999999916
1510,0.38855810000001156
1520,0.39603700000000686
1530,0.39876939999999195
1540,0.5155816999999843
1550,0.42169050000001107
1560,0.4346232000000043
1570,0.4314282999999932
1580,0.42855090000000473
1590,0.45510110000000736
1600,0.4680290999999954
1610,0.4538661999999931
1620,0.4532748999999967
1630,0.49275570000000357
1640,0.459606100000002
1650,0.4639978999999812
1660,0.46565910000003896
1670,0.4957294000000161
1680,0.5047223000000258
1690,0.5224467999999547
1700,0.5017042999999717
1710,0.5011144000000058
1720,0.5160463999999934
1730,0.5164786999999933
1740,0.5274961999999732
1750,0.5161165999999753
1760,0.5526040999999964
1770,0.5308381000000395
1780,0.5563405999999986
1790,0.5603558000000248
1800,0.5559488999999758
1810,0.5762842000000319
1820,0.5669972999999686
1830,0.5761924000000249
1840,0.5916543000000161
1850,0.6100868999999989
1860,0.6026378999999906
1870,0.6072757000000024
1880,0.6075559999999882
1890,0.6403879000000074
1900,0.632840299999998
1910,0.642089999999996
1920,0.646793300000013
1930,0.6655048000000079
1940,0.6681403999999702
1950,0.6920454000000404
1960,0.6748047000000383
1970,0.6772498000000269
1980,0.6895769999999857
1990,0.6910182000000304
2000,0.7238988999999947
2010,0.5276288000000005
2020,0.6026389000000005
2030,0.6349027000000014
2040,0.8497610999999985
2050,0.720950099999996
2060,0.7322738999999956
2070,0.7763783999999987
2080,0.7687734000000006
2090,0.8023189999999971
2100,0.9002856999999977
2110,0.8185800999999913
2120,0.8138539999999921
2130,0.8319133000000107
2140,0.8068348999999984
2150,0.8366575000000012
2160,0.8322963000000101
2170,0.8684811999999908
2180,0.8666781000000015
2190,0.9071896000000095
2200,0.8747670999999855
2210,0.8814614000000063
2220,0.9261290000000031
2230,0.9027706999999907
2240,0.915346999999997
2250,0.9271946000000071
2260,0.917102199999988
2270,0.9213728000000003
2280,0.9584906999999987
2290,0.9493104000000017
2300,0.9525875000000212
2310,0.937813900000009
2320,0.9637122999999974
2330,0.9881787999999574
2340,1.0600674999999455
2350,1.0008595999999557
2360,1.0089150999999674
2370,1.0312667000000033
2380,1.0566557000000216
2390,1.0515869999999836
2400,1.065048699999977
2410,1.1204156000000012
2420,1.0731614000000036
2430,1.0765228000000207
2440,1.0762355999999613
2450,1.1313036999999895
2460,1.0939010999999823
2470,1.1233682000000158
2480,1.1229660000000194
2490,1.1386856999999964
2500,1.1530414000000064
2510,1.1936998000000472
2520,1.1573582000000329
2530,1.1709778000000028
2540,1.2031217999999626
2550,1.199482899999964
2560,1.2163156999999956
2570,1.2497594000000163
2580,1.2186704000000645
2590,1.262393999999972
2600,1.2325356999999713
2610,1.2620226999999886
2620,1.2910910000000513
2630,1.2706405000000132
2640,1.296822700000007
2650,1.295716299999981
2660,1.3425992999999607
2670,1.330259999999953
2680,1.3420902999999953
2690,1.333998700000052
2700,1.3380207000000155
2710,1.3615551000000323
2720,1.3815144000000146
2730,1.4498407999999472
2740,1.385470899999973
2750,1.3831619000000046
2760,1.5313540000000785
2770,1.409999599999992
2780,1.4121117999999342
2790,1.45307379999997
2800,1.4683286000000635
2810,1.475965599999995
2820,1.46461469999997
2830,1.5163708000000042
2840,1.470153699999969
2850,1.5250727000000097
2860,1.597134199999914
2870,1.5430729000000838
2880,1.5688945000000558
2890,1.583846900000026
2900,1.6420662999998967
2910,1.5895272000000205
2920,1.5934014000000616
2930,1.6393328999999994
2940,1.599605600000018
2950,1.6051409000000376
2960,1.6510831000000508
2970,1.6362900999999965
2980,1.700503499999968
2990,1.7238213000000542
3000,1.7126725999999053
3010,1.7320200000001478
3020,1.7456212999998115
3030,1.7226765000000341
3040,1.7671070000001237
3050,1.8013104999999996
3060,1.7651961999999912
3070,1.847359200000028
3080,1.7778854999999112
3090,2.065236299999924
3100,2.1082799000000705
3110,1.8513523999999961
3120,1.857113199999958
3130,1.8612855999999738
3140,1.9121688000000177
3150,1.897434500000145
3160,1.9228815999999824
3170,1.9241888000001381
3180,1.9740151000000878
3190,1.9457351999999446
3200,1.9469865000000937
3210,1.9788857000000917
3220,1.9804640999998355
3230,2.0345563999999285
3240,2.017782899999929
3250,2.0599973999999293
3260,2.0418256000000383
3270,2.047230500000069
