# of vertices,Execution Time
10,0.00018299999999998873
20,0.0012052999999999647
30,0.005728600000000028
40,0.009066499999999977
50,0.019553700000000007
60,0.033038500000000026
70,0.054467600000000005
80,0.0794167
90,0.10964750000000001
100,0.1529408
110,0.22175470000000008
120,0.2662918000000001
130,0.3372396
140,0.4346276
150,0.5015417000000002
160,0.7009821999999999
170,0.7778871
180,0.9657653000000002
190,1.1415571
200,1.2950540999999998
210,1.5672791000000004
220,1.7081893999999984
230,2.1730973999999996
240,2.167840400000001
250,2.4442340000000016
260,2.7659126
270,3.1320397
280,3.5610596
290,4.043960200000001
300,4.482740199999995
310,5.100703100000004
320,5.455789199999998
330,6.029927100000002
340,6.6661736000000005
350,7.255209299999997
360,7.946711399999998
370,8.49422770000001
380,9.198893900000002
390,10.088903200000004
400,10.8239497
410,11.694975999999997
420,12.84736620000001
430,13.305236000000008
440,14.664875899999998
450,15.124917299999993
460,16.638906099999986
470,17.574554699999993
480,18.911945300000014
490,20.239480699999973
500,21.60162779999996
510,20.9629317
520,23.562536899999998
530,25.337955700000002
540,26.731376800000007
550,28.0287821
560,30.552446000000003
570,33.2327971
580,33.8781372
590,36.22988780000003
600,38.18336959999999
610,40.922686999999996
620,41.8204667
630,43.17424619999997
640,46.721768399999974
650,48.47650010000001
660,51.329969000000006
670,53.03262589999997
680,54.742974199999935
690,56.9709153
700,60.59332860000006
710,62.39293559999999
720,64.4764659
730,68.89805820000004
740,69.48314100000005
750,74.02666120000004
760,77.31672889999982
770,79.7981420000001
780,82.94949329999986
790,86.6893183000002
800,90.65193240000008
810,93.15420930000005
820,97.13596180000013
830,100.26341489999982
840,102.4595038
850,107.30286490000026
860,111.78065430000015
870,115.04242310000018
880,119.86573990000034
890,125.12720569999965
900,129.07311770000024
910,132.20430910000005
920,136.65929779999988
930,141.9823139
940,148.1732136999999
950,151.14570890000005
960,155.45365649999985
970,170.2057883
980,167.3204608999995
990,173.6295338
1000,181.32339160000083
1010,167.2023979
1020,185.2528509
1030,193.71214949999995
1040,200.97585289999995
1050,209.7410089
1060,217.77277560000005
1070,228.20352879999996
1080,236.41130309999994
1090,239.20797779999998
1100,245.0607858000003
1110,253.6654994999999
1120,263.1741555999997
1130,269.56526369999983
1140,274.57423689999996
1150,284.23571809999976
1160,293.3965837999999
1170,298.66408279999996
1180,303.69155480000063
1190,315.6110922000007
1200,322.52383329999975
1210,329.17491300000074
1220,337.0742172999999
1230,351.15258320000066
1240,366.52430129999993
1250,369.26270719999957
