# of vertices,Execution Time
10,4.2200000000047755e-05
20,0.00012409999999996035
30,0.00027130000000002985
40,0.0007197999999999927
50,0.0008464999999999723
60,0.0010264000000000384
70,0.0013545000000000362
80,0.0017722000000000016
90,0.0022016000000000258
100,0.002987799999999985
110,0.003299699999999961
120,0.003909000000000051
130,0.004752100000000037
140,0.005184700000000042
150,0.00608580000000003
160,0.006699599999999917
170,0.007738800000000046
180,0.00884370000000001
190,0.00987989999999983
200,0.011049100000000145
210,0.012455000000000105
220,0.013916599999999946
230,0.014573900000000028
240,0.016131399999999907
250,0.01700400000000002
260,0.019706199999999896
270,0.021188100000000265
280,0.022282500000000205
290,0.023545499999999997
300,0.024769299999999994
310,0.027025500000000147
320,0.03024210000000016
330,0.029249499999999706
340,0.031689499999999704
350,0.03484879999999979
360,0.03503949999999989
370,0.0394521000000001
380,0.039985099999999996
390,0.04078659999999967
400,0.0434013000000002
410,0.04634429999999945
420,0.04861380000000004
430,0.050184400000000906
440,0.05272730000000081
450,0.055623999999999896
460,0.05937119999999929
470,0.06211899999999915
480,0.062119799999999614
490,0.06549479999999974
500,0.0746355999999988
510,0.07188790000000012
520,0.07834249999999976
530,0.07974549999999958
540,0.08040150000000068
550,0.08657400000000237
560,0.08951150000000041
570,0.09438459999999793
580,0.10153389999999973
590,0.09622520000000279
600,0.10200139999999891
610,0.10896199999999823
620,0.10624530000000121
630,0.11104719999999801
640,0.11608820000000009
650,0.11848850000000155
660,0.12314589999999725
670,0.1250592000000026
680,0.1335952999999961
690,0.13503889999999785
700,0.1432100000000034
710,0.1480397999999994
720,0.14510750000000172
730,0.15199469999999593
740,0.1515802999999991
750,0.16055650000000554
760,0.1697338999999971
770,0.16248350000000045
780,0.16811810000000094
790,0.1746392999999955
800,0.18102509999999938
810,0.18234789999999634
820,0.18922329999999477
830,0.19166049999999757
840,0.19704000000000121
850,0.20309010000000427
860,0.21289690000000405
870,0.20977690000000848
880,0.21909130000000232
890,0.2369999000000007
900,0.2250926999999905
910,0.2400920000000042
920,0.2869647999999927
930,0.2881789999999995
940,0.26509729999999365
950,0.285289199999994
960,0.2845659999999981
970,0.27627440000000547
980,0.3072822999999971
990,0.2929790999999966
1000,0.30319210000000396
1010,0.28522869999999045
1020,0.3042587999999995
1030,0.32536669999998935
1040,0.3093767000000014
1050,0.3252518999999978
1060,0.3679156999999975
1070,0.3813126999999952
1080,0.3327498000000162
1090,0.36339590000000044
1100,0.37894499999998743
1110,0.3753016999999943
1120,0.38366419999999835
1130,0.3916488000000129
1140,0.39425869999999463
1150,0.3988080000000025
1160,0.43360020000000077
1170,0.4341118000000108
1180,0.41452609999998913
1190,0.4456361999999956
1200,0.4281977999999924
1210,0.48034490000000574
1220,0.44416960000000927
1230,0.46299259999997844
1240,0.44806669999999826
1250,0.48402889999999843
1260,0.48351070000001073
1270,0.5045400999999856
1280,0.5169410999999968
1290,0.5365804000000196
1300,0.5455503999999962
1310,0.4865251000000228
1320,0.5169898999999987
1330,0.5330342999999971
1340,0.5482079999999883
1350,0.5577405000000226
1360,0.5333072000000243
1370,0.5727294000000143
1380,0.5766709000000105
1390,0.6482659000000126
1400,0.5904037000000244
1410,0.6337808000000109
1420,0.6228469999999788
1430,0.630649099999971
1440,0.5988909999999805
1450,0.6466121999999928
