# of vertices,Execution Time
10,0.00032840000000000646
20,0.002507199999999987
30,0.008479899999999985
40,0.024971500000000035
50,0.041658299999999926
60,0.06540710000000005
70,0.10119270000000002
80,0.15023260000000005
90,0.47819769999999995
100,0.3898894999999998
110,0.5235370000000001
120,0.7918314
130,1.4008253000000002
140,1.2050849999999995
150,1.180389400000001
160,1.4577312000000013
170,1.799684000000001
180,1.8532724999999992
190,2.305559399999998
200,2.5086364000000003
210,3.0201202999999985
220,3.421327599999998
230,4.253527100000003
240,4.540181199999999
250,5.1969615000000005
260,6.159972500000002
270,6.570393100000004
280,7.319500400000003
290,7.944739100000007
300,9.017457000000007
310,10.4573338
320,11.435200899999998
330,12.915497700000003
340,13.69467619999999
350,15.312570399999998
360,15.961921200000006
370,17.998870699999998
380,19.513989600000002
390,20.62446159999999
400,21.983680599999985
410,23.295123700000005
420,24.82622409999999
430,26.34881770000004
440,28.241190399999994
450,30.1464254
460,31.946349500000053
470,37.050192100000004
480,39.94209860000001
490,41.214461400000005
500,42.912192400000094
510,40.3170017
520,45.630732599999995
530,47.82757830000001
540,51.3224754
550,56.10303290000002
560,59.49650199999999
570,63.780964600000004
580,66.94789779999996
590,69.44189790000001
600,74.09285910000006
610,78.3095634
620,82.54890929999999
630,85.93524200000002
640,91.0865887
650,96.49755249999998
660,100.87699010000006
670,105.77919169999996
680,110.28616910000005
690,113.2500912999999
700,118.57054030000018
710,122.84225809999998
720,128.8090909
730,135.42324059999987
740,140.94050789999983
750,146.0623424999999
760,151.47971439999992
770,156.63074800000004
780,166.46397509999997
790,171.00595569999996
800,177.4800054000002
810,184.21735470000021
820,191.96295550000013
830,201.2117235999999
840,205.7155359999997
850,214.0286071999999
860,221.73784909999995
870,228.97794599999997
880,240.18330030000016
890,244.67535820000012
900,253.49870830000054
910,261.2681419999999
920,272.3603899999998
930,280.7469182999994
940,292.0080546999998
950,301.9931717999998
960,307.8108653999998
970,320.47082839999985
980,330.9944045000002
990,340.5923077999996
1000,356.1021886999988
1010,333.7356209
1020,357.24877080000005
1030,371.9851689999999
1040,388.7632036
1050,411.30118319999997
1060,426.95084569999995
1070,445.5094911000001
1080,457.375458
1090,467.58894390000023
1100,481.2512555999997
1110,500.9716903999997
1120,508.5682723
1130,522.4614609999999
1140,539.2096959
1150,551.9991349000002
1160,567.5843826999999
1170,578.6219199000006
1180,594.5251434999991
1190,557.0989653
1200,633.8547080999997
1210,645.0233415000002
1220,660.7379648999995
1230,678.31581
1240,695.9448112000009
1250,715.5817506999992
